Model,Concept,MP Index,Chunk ID,Score
LaBSE,extreme sea level,4,1768,0.7420545816421509
LaBSE,just transitions,8,2327,0.7325767278671265
LaBSE,just transitions,0,31,0.7324528694152832
LaBSE,sea level change,4,1768,0.7298298478126526
LaBSE,just transitions,4,1774,0.7277783155441284
LaBSE,sea level rise,4,1768,0.726161003112793
LaBSE,just transitions,4,1773,0.7245838046073914
LaBSE,cultural impacts,0,273,0.7241365909576416
LaBSE,Reasons for Concern,4,1768,0.7222766876220703
LaBSE,just transitions,4,1811,0.7181493043899536
LaBSE,risk,0,31,0.7099838852882385
LaBSE,early warning systems,4,1819,0.7095980048179626
LaBSE,extreme sea level,4,1814,0.7057017683982849
LaBSE,risk,4,1808,0.7017892599105835
LaBSE,carbon neutrality,0,452,0.7005448937416077
LaBSE,green infrastructure,0,126,0.7004902362823486
LaBSE,risk,4,1828,0.6970652341842651
LaBSE,urban,0,326,0.6968559622764587
LaBSE,risk,5,2094,0.696491003036499
LaBSE,early warning systems,4,1783,0.6952968835830688
LaBSE,risk,3,1359,0.6952317953109741
LaBSE,extreme sea level,4,1769,0.6949226260185242
LaBSE,adjustments,10,2589,0.6917446255683899
LaBSE,urban,3,1508,0.6912528276443481
LaBSE,Reasons for Concern,5,2093,0.690172553062439
LaBSE,greenhouse gas neutrality,0,452,0.6880670785903931
LaBSE,extreme sea level,4,1808,0.6877747178077698
LaBSE,green infrastructure,5,2088,0.6877709627151489
LaBSE,land water storage,2,1103,0.687256932258606
LaBSE,extreme sea level,0,244,0.6863793730735779
LaBSE,land water storage,5,2089,0.6862334609031677
LaBSE,reference scenario,3,1360,0.6856123208999634
LaBSE,greenhouse gas emission metric,4,1768,0.6852291226387024
LaBSE,land water storage,4,1814,0.684999406337738
LaBSE,early warning systems,0,203,0.6840945482254028
LaBSE,Atlantic Multi-decadal Variability,4,1768,0.6838580965995789
LaBSE,early warning systems,5,2099,0.6835024356842041
LaBSE,Montreal Protocol,1,856,0.683182418346405
LaBSE,"Measurement, Reporting and Verification",4,1826,0.6828085780143738
LaBSE,blue carbon,4,1775,0.6822866797447205
LaBSE,early warning systems,4,1789,0.6815719604492188
LaBSE,blue carbon,3,1664,0.6814953684806824
LaBSE,cultural impacts,0,282,0.6805692315101624
LaBSE,urban,5,1913,0.6804310083389282
LaBSE,vertical land motion,4,1814,0.6800215840339661
LaBSE,land degradation,0,244,0.6795158982276917
LaBSE,"Measurement, Reporting and Verification",0,188,0.6793095469474792
LaBSE,"gravitational, rotational and deformational  effects",4,1808,0.6792956590652466
LaBSE,carbon neutrality,5,1958,0.6786918044090271
LaBSE,emissions scenario,5,2077,0.6785527467727661
LaBSE,"land use, land-use change and forestry",4,1772,0.6778531670570374
LaBSE,carbon neutrality,4,1775,0.6776179075241089
LaBSE,sea level change,4,1815,0.6773681044578552
LaBSE,emergence,4,1768,0.6771804094314575
LaBSE,green infrastructure,9,2484,0.6770773530006409
LaBSE,Reasons for Concern,3,1356,0.6759652495384216
LaBSE,vertical land motion,4,1808,0.6759058237075806
LaBSE,blue carbon,3,1665,0.6748512387275696
LaBSE,carbon neutrality,4,1768,0.6747607588768005
LaBSE,net zero greenhouse gas emissions,4,1803,0.6746833920478821
LaBSE,adjustments,0,244,0.6746699810028076
LaBSE,land water storage,0,591,0.674662709236145
LaBSE,urban,0,109,0.6746127605438232
LaBSE,carbon neutrality,4,1803,0.6745164394378662
LaBSE,United Nations Framework Convention on Climate Change,3,1423,0.6737654805183411
LaBSE,sea level rise,4,1815,0.6736019253730774
LaBSE,"Measurement, Reporting and Verification",5,2148,0.6732447743415833
LaBSE,"land use, land-use change and forestry",0,567,0.672923743724823
LaBSE,Reasons for Concern,4,1769,0.6726931929588318
LaBSE,"Measurement, Reporting and Verification",4,1825,0.6725059151649475
LaBSE,"land use, land-use change and forestry",0,136,0.6715052127838135
LaBSE,urban,5,2002,0.6714345812797546
LaBSE,cities,5,1892,0.6711929440498352
LaBSE,blue carbon,0,33,0.6708403825759888
LaBSE,agroforestry,0,234,0.6701958775520325
LaBSE,El Niño–Southern Oscillation,4,1768,0.6698380708694458
LaBSE,Reasons for Concern,3,1357,0.6698184013366699
LaBSE,greenhouse gas neutrality,5,1958,0.669704794883728
LaBSE,managed land,2,1057,0.6696810126304626
LaBSE,land use,0,567,0.6689537763595581
LaBSE,green infrastructure,0,464,0.6684492230415344
MiniLM,restoration,1,962,0.6684333682060242
LaBSE,net zero greenhouse gas emissions,0,452,0.6683844923973083
LaBSE,anthropogenic removals,3,1359,0.6680194139480591
LaBSE,"land use, land-use change and forestry",5,2083,0.667944610118866
LaBSE,Palaeocene–Eocene Thermal Maximum,4,1768,0.6675141453742981
LaBSE,shared socio-economic pathways,4,1828,0.66740483045578
LaBSE,agroforestry,3,1664,0.6668311953544617
LaBSE,net zero greenhouse gas emissions,5,1958,0.6665580868721008
LaBSE,El Niño–Southern Oscillation,0,244,0.6661244034767151
LaBSE,integrated assessment model,3,1440,0.6660259366035461
LaBSE,"Measurement, Reporting and Verification",1,954,0.6658595204353333
LaBSE,land water storage,5,2088,0.6658197641372681
LaBSE,Atlantic Multi-decadal Variability,4,1769,0.6656185388565063
LaBSE,United Nations Framework Convention on Climate Change,1,856,0.6653048992156982
LaBSE,impacts,5,2094,0.6650487184524536
LaBSE,managed land,4,1776,0.6649844646453857
LaBSE,integrated assessment model,5,1957,0.6649470925331116
LaBSE,managed land,4,1761,0.6649147272109985
LaBSE,sea level change,4,1769,0.6648731231689453
LaBSE,green infrastructure,8,2327,0.664694607257843
LaBSE,urbanisation,5,1959,0.6641908884048462
LaBSE,greenhouse gas emission metric,4,1775,0.6641826033592224
LaBSE,managed land,4,1772,0.6639328002929688
MPNet,adaptation needs,4,1774,0.6638219952583313
LaBSE,"gravitational, rotational and deformational  effects",4,1844,0.66243577003479
LaBSE,"Loss and Damage, and losses and damages",0,235,0.6621516346931458
LaBSE,climate extreme,4,1768,0.6621428728103638
LaBSE,extreme climate event,4,1768,0.6621113419532776
LaBSE,"land use, land-use change and forestry",2,1057,0.6617465615272522
MiniLM,land rehabilitation,0,30,0.6615914702415466
LaBSE,net zero greenhouse gas emissions,3,1360,0.6611512303352356
LaBSE,cities,3,1387,0.6609827876091003
LaBSE,Sendai Framework for Disaster Risk Reduction,8,2327,0.660607099533081
