Model,Concept,MP Index,Chunk ID,Score
MiniLM,abrupt change,5,2090,0.2887137830257416
MiniLM,abrupt climate change,4,1774,0.40612488985061646
MiniLM,abrupt climate change,0,590,0.3692030906677246
MiniLM,abrupt climate change,4,1773,0.3632780611515045
MiniLM,abrupt climate change,4,1768,0.3587891459465027
MiniLM,abrupt climate change,10,2605,0.35480183362960815
MiniLM,acceptability of policy or system change,0,150,0.3328406512737274
MiniLM,acceptability of policy or system change,9,2468,0.31435123085975647
MiniLM,acceptability of policy or system change,0,20,0.30115413665771484
MiniLM,acceptability of policy or system change,0,208,0.2918208837509155
MiniLM,access,9,2457,0.3817248046398163
MiniLM,access,9,2513,0.35056862235069275
MiniLM,access,9,2461,0.3273663818836212
MiniLM,access,9,2458,0.31662532687187195
MiniLM,access,9,2460,0.3102608621120453
MiniLM,access to modern energy services,5,2081,0.48557862639427185
MiniLM,access to modern energy services,5,2083,0.48153483867645264
MiniLM,access to modern energy services,5,2076,0.43510833382606506
MiniLM,access to modern energy services,5,2082,0.43416959047317505
MiniLM,access to modern energy services,3,1663,0.3955061137676239
MiniLM,acclimatisation,9,2484,0.2997686564922333
MiniLM,acclimatisation,3,1659,0.2930676341056824
MiniLM,active layer,2,1103,0.31836363673210144
MiniLM,active layer,2,1104,0.31695011258125305
MiniLM,active layer,1,816,0.3122439682483673
MiniLM,active layer,9,2482,0.30714404582977295
MiniLM,active layer,3,1662,0.3036285638809204
MiniLM,acute food insecurity,5,2090,0.33891549706459045
MiniLM,acute food insecurity,5,2095,0.3223962187767029
MiniLM,acute food insecurity,9,2460,0.3193484842777252
MiniLM,acute food insecurity,9,2505,0.2972526550292969
MiniLM,acute food insecurity,9,2461,0.29060250520706177
MiniLM,adaptation,4,1774,0.5476975440979004
MiniLM,adaptation,9,2484,0.48946747183799744
MiniLM,adaptation,4,1769,0.4765925705432892
MiniLM,adaptation,4,1815,0.4718802571296692
MiniLM,adaptation,4,1707,0.4614255130290985
MiniLM,Adaptation Fund,4,1707,0.47669288516044617
MiniLM,Adaptation Fund,0,36,0.43422839045524597
MiniLM,Adaptation Fund,4,1774,0.4310433268547058
MiniLM,Adaptation Fund,0,254,0.4231906831264496
MiniLM,Adaptation Fund,4,1815,0.41914844512939453
MiniLM,adaptation behaviour,4,1774,0.6193203926086426
MiniLM,adaptation behaviour,9,2484,0.5578318238258362
MiniLM,adaptation behaviour,0,590,0.5205453634262085
MiniLM,adaptation behaviour,4,1815,0.5173507332801819
MiniLM,adaptation behaviour,4,1707,0.5041854977607727
MiniLM,adaptation deficit,4,1774,0.5398190021514893
MiniLM,adaptation deficit,0,590,0.49834367632865906
MiniLM,adaptation deficit,4,1769,0.4959959089756012
MiniLM,adaptation deficit,9,2484,0.4864294230937958
MiniLM,adaptation deficit,4,1815,0.4754389226436615
MiniLM,adaptation gap,4,1774,0.6363605856895447
MiniLM,adaptation gap,4,1815,0.5514031648635864
MiniLM,adaptation gap,4,1769,0.5347652435302734
MiniLM,adaptation gap,4,1700,0.5343313813209534
MiniLM,adaptation gap,4,1707,0.5294713377952576
MiniLM,adaptation limits,4,1769,0.35526010394096375
MiniLM,adaptation limits,4,1815,0.34018415212631226
MiniLM,adaptation limits,9,2485,0.3341769576072693
MiniLM,adaptation limits,2,1110,0.32244259119033813
MiniLM,adaptation limits,9,2484,0.3140331506729126
MiniLM,adaptation needs,4,1774,0.6087615489959717
MiniLM,adaptation needs,4,1815,0.5744261741638184
MiniLM,adaptation needs,9,2483,0.5523819923400879
MiniLM,adaptation needs,4,1707,0.5481086373329163
MiniLM,adaptation needs,9,2484,0.532354474067688
MiniLM,adaptation opportunity,4,1774,0.40699848532676697
MiniLM,adaptation opportunity,4,1769,0.39638766646385193
MiniLM,adaptation opportunity,9,2481,0.39028462767601013
MiniLM,adaptation opportunity,4,1815,0.3795255124568939
MiniLM,adaptation opportunity,9,2484,0.3656787574291229
MiniLM,adaptation options,4,1774,0.4821956157684326
MiniLM,adaptation options,3,1440,0.4260449707508087
MiniLM,adaptation options,9,2481,0.4209832549095154
MiniLM,adaptation options,4,1707,0.41990116238594055
MiniLM,adaptation options,9,2484,0.41382646560668945
MiniLM,adaptation pathways,0,501,0.37614065408706665
MiniLM,adaptation pathways,0,234,0.37505802512168884
MiniLM,adaptation pathways,0,29,0.3709922730922699
MiniLM,adaptation pathways,4,1774,0.3606452941894531
MiniLM,adaptation pathways,9,2437,0.35345253348350525
MiniLM,adaptive capacity,0,37,0.37521567940711975
MiniLM,adaptive capacity,0,259,0.35261422395706177
MiniLM,adaptive capacity,4,1769,0.3394601047039032
MiniLM,adaptive capacity,0,29,0.33770447969436646
MiniLM,adaptive capacity,9,2484,0.3342492878437042
MiniLM,adaptive governance,4,1774,0.6091930270195007
MiniLM,adaptive governance,4,1707,0.5696997046470642
MiniLM,adaptive governance,9,2484,0.5562348365783691
MiniLM,adaptive governance,4,1815,0.5144078135490417
MiniLM,adaptive governance,4,1700,0.5044882893562317
MiniLM,adaptive management,4,1774,0.381000816822052
MiniLM,adaptive management,0,700,0.38040485978126526
MiniLM,adaptive management,0,29,0.3749828040599823
MiniLM,adaptive management,0,186,0.36004525423049927
MiniLM,adaptive management,0,80,0.35979098081588745
MiniLM,added value,4,1774,0.45634007453918457
MiniLM,added value,9,2484,0.44747573137283325
MiniLM,added value,3,1659,0.44186633825302124
MiniLM,added value,0,243,0.43984076380729675
MiniLM,added value,0,590,0.4276336431503296
MiniLM,additionality,4,1769,0.40960052609443665
MiniLM,additionality,4,1774,0.40773168206214905
MiniLM,additionality,4,1815,0.40540605783462524
MiniLM,additionality,4,1772,0.4003833830356598
MiniLM,additionality,5,2077,0.39563822746276855
MiniLM,adjustments,4,1769,0.46471524238586426
MiniLM,adjustments,4,1772,0.4626884460449219
MiniLM,adjustments,9,2484,0.44313305616378784
MiniLM,adjustments,4,1774,0.42852768301963806
MiniLM,adjustments,4,1815,0.4058561623096466
MiniLM,aerosol–cloud interaction,0,597,0.2928709387779236
MiniLM,aerosol effective radiative forcing,2,1194,0.30860114097595215
MiniLM,aerosol optical depth,2,1194,0.2918819189071655
MiniLM,aerosol–radiation interaction,0,597,0.3099232017993927
MiniLM,afforestation,1,812,0.5266523361206055
MiniLM,afforestation,0,586,0.46599721908569336
MiniLM,afforestation,0,585,0.4419133961200714
MiniLM,afforestation,3,1664,0.43890291452407837
MiniLM,afforestation,0,125,0.4261114299297333
MiniLM,agreement,4,1837,0.3831480145454407
MiniLM,agreement,0,207,0.36677297949790955
MiniLM,agreement,0,210,0.3564978241920471
MiniLM,agreement,1,976,0.35327646136283875
MiniLM,agreement,0,501,0.3448299765586853
MiniLM,agricultural and ecological drought,0,244,0.40488162636756897
MiniLM,agricultural and ecological drought,9,2475,0.40184101462364197
MiniLM,agricultural and ecological drought,0,482,0.39244982600212097
MiniLM,agricultural and ecological drought,0,245,0.3800109922885895
MiniLM,agricultural and ecological drought,0,590,0.36464548110961914
MiniLM,"Agriculture, Forestry and Other Land Use",4,1775,0.45477837324142456
MiniLM,"Agriculture, Forestry and Other Land Use",1,956,0.4372905492782593
MiniLM,"Agriculture, Forestry and Other Land Use",4,1700,0.43510788679122925
MiniLM,"Agriculture, Forestry and Other Land Use",0,243,0.42811647057533264
MiniLM,"Agriculture, Forestry and Other Land Use",4,1774,0.41650038957595825
MiniLM,agroecology,0,512,0.5390991568565369
MiniLM,agroecology,0,318,0.5320845246315002
MiniLM,agroecology,0,69,0.5262261033058167
MiniLM,agroecology,0,583,0.4996146261692047
MiniLM,agroecology,9,2441,0.4988228976726532
MiniLM,agroforestry,0,521,0.49921801686286926
MiniLM,agroforestry,3,1664,0.4955730140209198
MiniLM,agroforestry,1,812,0.49252188205718994
MiniLM,agroforestry,0,583,0.4613579213619232
MiniLM,agroforestry,3,1574,0.46045824885368347
MiniLM,air mass,2,1190,0.291147917509079
MiniLM,air pollution,10,2601,0.4091933071613312
MiniLM,air pollution,10,2589,0.3299022912979126
MiniLM,air pollution,3,1358,0.32809314131736755
MiniLM,air pollution,9,2438,0.30997946858406067
MiniLM,air pollution,0,484,0.2998374104499817
MiniLM,albedo,3,1664,0.3046436607837677
MiniLM,altimetry,2,1188,0.37504491209983826
MiniLM,altimetry,5,2042,0.3734351396560669
MiniLM,altimetry,2,1089,0.37262552976608276
MiniLM,altimetry,2,1017,0.36607426404953003
MiniLM,altimetry,2,1044,0.3639605641365051
MiniLM,annular modes,4,1769,0.3070811927318573
