Model,Concept,MP Index,Chunk ID,Score
MPNet,abrupt change,5,2091,0.2953500747680664
MPNet,abrupt climate change,4,1813,0.40335842967033386
MPNet,abrupt climate change,0,243,0.38755127787590027
MPNet,abrupt climate change,4,1774,0.37840935587882996
MPNet,abrupt climate change,3,1659,0.36518844962120056
MPNet,abrupt climate change,5,2059,0.36301368474960327
MPNet,acceptability of policy or system change,0,150,0.35379067063331604
MPNet,acceptability of policy or system change,9,2438,0.3340275287628174
MPNet,acceptability of policy or system change,3,1440,0.3225177526473999
MPNet,acceptability of policy or system change,5,1935,0.31423529982566833
MPNet,acceptability of policy or system change,3,1558,0.3061094284057617
MPNet,access,9,2387,0.3779805302619934
MPNet,access,9,2461,0.3682768642902374
MPNet,access,9,2458,0.363008588552475
MPNet,access,2,1215,0.3334807753562927
MPNet,access,7,2242,0.3304941654205322
MPNet,access to modern energy services,5,2083,0.4879283607006073
MPNet,access to modern energy services,5,2076,0.4707362651824951
MPNet,access to modern energy services,5,2077,0.46586138010025024
MPNet,access to modern energy services,3,1646,0.44395753741264343
MPNet,access to modern energy services,3,1664,0.4416230320930481
MPNet,acclimatisation,0,243,0.36628517508506775
MPNet,acclimatisation,4,1825,0.35664644837379456
MPNet,acclimatisation,0,244,0.3522002100944519
MPNet,acclimatisation,4,1774,0.3145890533924103
MPNet,acclimatisation,4,1737,0.3138091564178467
MPNet,accumulation,0,243,0.2859010398387909
MPNet,accumulation,0,592,0.2841566205024719
MPNet,active layer,2,1104,0.30202463269233704
MPNet,active layer,3,1664,0.294079065322876
MPNet,active layer,2,1103,0.28761470317840576
MPNet,acute food insecurity,5,2090,0.4656214416027069
MPNet,acute food insecurity,2,1173,0.350146621465683
MPNet,acute food insecurity,0,245,0.33422261476516724
MPNet,acute food insecurity,5,2091,0.329231321811676
MPNet,acute food insecurity,5,2100,0.3253290057182312
MPNet,adaptation,4,1774,0.47511759400367737
MPNet,adaptation,4,1813,0.4413033723831177
MPNet,adaptation,0,243,0.4064810276031494
MPNet,adaptation,4,1815,0.3789512515068054
MPNet,adaptation,4,1769,0.36519694328308105
